Case,Model,F1,AUC,Accuracy,Precision,Recall
Base (chỉ thật),XGBoost,0.2234349056047141,0.5037099572342024,0.3213463751438435,0.24977415101991168,0.24873402232979375
Base (chỉ thật),LightGBM,0.17790951551329454,0.49387018002756367,0.3475258918296893,0.23259063321750853,0.24517659144585174
Base + GAN,XGBoost,0.31097878932773204,0.5640918052280097,0.3106256206554121,0.31221986196704965,0.3105520087331365
Base + GAN,LightGBM,0.3186249814149534,0.5763260669228565,0.31817279046673286,0.3204126113522532,0.3180285355594982
Base + GAN chất lượng,XGBoost,0.3081357456424913,0.5677552125206047,0.3076464746772592,0.30866999662329814,0.30784624246175446
Base + GAN chất lượng,LightGBM,0.3273276973184862,0.5788637474385641,0.3266137040714995,0.3280669595767578,0.3268507433799736
